IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.246.242.232,2082,0,false,ORD,North America,Chicago,319,0.00
13.246.201.148,443,0,false,ORD,North America,Chicago,321,0.00
13.246.38.255,2083,0,false,ORD,North America,Chicago,315,0.00
13.244.174.75,80,0,false,ORD,North America,Chicago,316,0.00
13.246.233.230,8080,0,false,ORD,North America,Chicago,318,0.00
13.247.65.239,8443,0,false,ORD,North America,Chicago,313,0.00
13.246.242.116,2087,0,false,ORD,North America,Chicago,322,0.00
13.245.237.206,443,0,false,ORD,North America,Chicago,317,0.00
13.247.101.216,8443,0,false,ORD,North America,Chicago,318,0.00
13.245.28.205,8880,0,false,ORD,North America,Chicago,318,0.00
13.246.242.198,2053,0,false,ORD,North America,Chicago,316,0.00
13.245.75.155,2053,0,false,ORD,North America,Chicago,316,0.00
13.244.100.62,8443,0,false,ORD,North America,Chicago,314,0.00
13.247.96.131,2096,0,false,ORD,North America,Chicago,316,0.00
13.245.82.168,443,0,false,ORD,North America,Chicago,318,0.00
13.244.100.193,2095,0,false,ORD,North America,Chicago,314,0.00
13.245.28.205,2096,0,false,ORD,North America,Chicago,312,0.00
13.245.149.234,2082,0,false,ORD,North America,Chicago,314,0.00
13.246.35.192,2082,0,false,ORD,North America,Chicago,312,0.00
13.245.171.67,8880,0,false,ORD,North America,Chicago,318,0.00
13.48.136.135,80,0,false,ARN,Europe,Stockholm,199,0.00
13.244.100.193,80,0,false,ORD,North America,Chicago,317,0.00
13.246.240.244,2082,0,false,ORD,North America,Chicago,313,0.00
13.247.101.216,2086,0,false,ORD,North America,Chicago,310,0.00
13.246.35.192,8080,0,false,ORD,North America,Chicago,315,0.00
13.247.14.165,80,0,false,ORD,North America,Chicago,310,0.00
13.246.221.196,2052,0,false,ORD,North America,Chicago,309,0.00
13.247.65.239,2083,0,false,ORD,North America,Chicago,317,0.00
13.244.104.215,2095,0,false,ORD,North America,Chicago,316,0.00
13.247.62.71,2052,0,false,ORD,North America,Chicago,318,0.00
